admin(basemap),Coun_FID,Country,Tobacco,Life,PM,Diadetes,Water
Afghanistan,AFG,Afghanistan,0.05781906,60.02826829,99.19824711,8.07,45.4
Albania,ALB,Albania,0.812281566,77.5372439,99.94232046,2.57,95.1
Algeria,DZA,Algeria,0.706501868,74.56895122,99.97018154,7.29,82.1
Angola,AGO,Angola,0.249482243,51.86617073,90.28603723,2.61,28.2
Argentina,ARG,Argentina,1.065958295,75.98609756,35.21349422,5.65,97.5
Armenia,ARM,Armenia,0.659334594,74.56136585,98.19866483,2.58,100
Australia,AUS,Australia,1.371155457,82.19756098,0.282330209,4.08,100
Austria,AUT,Austria,1.458639469,80.8902439,88.25950678,6.29,100
Azerbaijan,AZE,Azerbaijan,0.207806436,70.69314634,99.83452216,2.56,75.3
Bahamas,BHS,Bahamas,0.668275473,75.07353659,85.38988685,12.84,98.4
Bangladesh,BGD,Bangladesh,0.229792994,71.2452439,100,6.89,85.3
Belarus,BLR,Belarus,1.623486915,72.47073171,92.47924749,5.07,99.1
Belgium,BEL,Belgium,0.276022027,80.38536585,100,4.66,100
Belize,BLZ,Belize,0.084234665,69.98204878,0,15.88,100
Benin,BEN,Benin,0.106993892,59.31202439,100,1.54,71.2
Bhutan,BTN,Bhutan,0.206612939,69.10292683,94.76172223,5.83,98.6
Bolivia,BOL,Bolivia,1.540825182,67.91343902,42.44316831,7.28,74.1
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,0.309626208,76.27692683,92.59739252,9.6,99.7
Botswana,BWA,Botswana,0.339270463,64.36080488,45.43897088,3.9,92.3
Brazil,BRA,Brazil,0.70566711,74.12243902,52.62460163,8.7,86.2
Brunei,BRN,Brunei Darussalam,1.03808014,78.54665854,35.87742483,8.03,Nodata
Bulgaria,BGR,Bulgaria,0.147082969,74.46585366,99.36219799,5.04,99
Burkina Faso,BFA,Burkina Faso,0.067422226,58.24063415,100,3.72,75.8
Burundi,BDI,Burundi,0.444967375,56.25160976,99.75636902,4.83,73.5
Cambodia,KHM,Cambodia,0.127055678,67.77204878,99.23784861,2.96,65
Cameroon,CMR,Cameroon,0.796296986,55.04180488,95.84066744,5.92,52.7
Canada,CAN,Canada,0.355192953,81.40112195,63.40991881,9.41,99
Central African Republic,CAF,Central African Republic,0.107835549,49.87987805,99.87782561,7.34,54.4
Chad,TCD,Chad,0.641280367,51.1914878,99.99927748,5.77,44.8
Chile,CHL,Chile,1.552090965,81.19792683,58.70878276,11.19,93.3
China,CHN,China,0.247936906,75.35302439,99.5699729,8.64,90
Colombia,COL,Colombia,0.199665821,73.80973171,68.99846256,7.26,73.8
Democratic Republic of the Congo,COD,"Congo, Dem. Rep.",0.95081689,58.27192683,97.32172353,7.56,30.6
Republic of Congo,COG,"Congo, Rep.",0,61.66639024,81.16638403,5.91,39.4
Costa Rica,CRI,Costa Rica,1.179216321,79.22521951,36.56184699,9.5,91.9
Croatia,HRV,Croatia,0.960302776,77.12682927,97.92124214,5.52,99.4
Cuba,CUB,Cuba,1.164218273,79.25639024,10.98611464,6.7,88.1
Cyprus,CYP,Cyprus,0,79.94978049,99.78369236,9.26,100
Czech Republic,CZE,Czech Republic,0.329080897,78.27804878,98.55886102,6.59,100
Denmark,DNK,Denmark,0.328308229,80.30243902,49.44061774,6.05,100
Djibouti,DJI,Djibouti,0,61.68646341,100,6.36,64.7
Dominican Republic,DOM,Dominican Republic,0.420600722,73.31990244,82.03325457,11.35,81.4
East Timor,TLS,Timor-Leste,0.172367167,67.52236585,0,6.76,60.5
Ecuador,ECU,Ecuador,0.819339065,75.6485122,70.78362089,5.91,74.9
Egypt,EGY,"Egypt, Arab Rep.",0.193408586,70.92578049,100,16.56,98.3
El Salvador,SLV,El Salvador,0.447733805,72.49814634,75.85652392,11.75,83.7
Equatorial Guinea,GNQ,Equatorial Guinea,0.078356865,57.29082927,58.59892343,6.13,31.5
Eritrea,ERI,Eritrea,1.224265654,63.17787805,100,5.73,53.3
Estonia,EST,Estonia,0.052293101,76.42439024,32.18744101,5.65,98.8
Ethiopia,ETH,Ethiopia,0,63.44219512,95.92155747,5.47,44.7
Falkland Islands,FLK,Falkland Islands,Nodata,Nodata,Nodata,Nodata,Nodata
Fiji,FJI,Fiji,0.747425703,69.91792683,0,10.88,91.2
Finland,FIN,Finland,0.68492234,80.83170732,17.20595679,5.77,100
France,FRA,France,1.884917925,81.96829268,85.40397202,5.16,100
French Southern and Antarctic Lands,ATF,French Polynesia,0.385678865,76.33407317,,24.42,100
Gabon,GAB,Gabon,0.114472219,63.84358537,63.73119422,10.71,64.8
Gambia,GMB,"Gambia, The",0.950968664,59.99926829,100,1.96,84.4
Georgia,GEO,Georgia,1.021053837,74.0795122,92.13265043,2.55,97.8
Germany,DEU,Germany,0.083372312,81.04390244,95.25770708,7.93,100
Ghana,GHA,Ghana,1.439157184,61.14207317,99.94200838,3.8,80.4
Greece,GRC,Greece,0.154761363,80.63414634,98.0181442,4.81,100
Greenland,GRL,Greenland,Nodata,Nodata,Nodata,Nodata,Nodata
Guatemala,GTM,Guatemala,0.010320644,71.48639024,74.29277274,10.84,86.8
Guinea,GIN,Guinea,0.120619073,58.2164878,99.93133237,4.37,66.2
Guinea Bissau,GNB,Guinea-Bissau,0.052831209,54.83841463,100,3.79,58
Guyana,GUY,Guyana,0.078598324,66.31002439,22.21086192,15.84,96.2
Haiti,HTI,Haiti,0.337359488,62.40114634,92.78261286,6.7,47.7
Honduras,HND,Honduras,0,72.94285366,23.61502964,11.69,81.9
Hungary,HUN,Hungary,0.380373668,75.26829268,98.96808535,5.94,100
Iceland,ISL,Iceland,0.076528676,83.11707317,0.895950871,3.2,100
India,IND,India,0.912231756,67.66041463,99.98502373,9.11,91.5
Indonesia,IDN,Indonesia,0.846430754,68.70460976,76.19824644,6.03,78
Iran,IRN,"Iran, Islamic Rep.",0,75.12597561,99.95932579,10.01,92.1
Iraq,IRQ,Iraq,0.657913436,69.47168293,99.93597552,9.6,70.1
Ireland,IRL,Ireland,0.599432089,81.04390244,8.383421002,5.37,97.8
Israel,ISR,Israel,0.995410901,82.05609756,100,5.46,100
Italy,ITA,Italy,0.409065885,82.2902439,97.07932217,4.93,100
Ivory Coast,CIV,Ivory Coast,Nodata,Nodata,Nodata,Nodata,Nodata
Jamaica,JAM,Jamaica,1.181768887,73.46892683,71.66680997,10.53,89.4
Japan,JPN,Japan,1.279766709,83.33195122,92.27433679,5.12,100
Jordan,JOR,Jordan,1.487793907,73.90141463,100,11.45,92.2
Kazakhstan,KAZ,Kazakhstan,0.177003178,70.45,70.77227767,5.01,85.8
Kenya,KEN,Kenya,0.019337409,60.95378049,59.7556111,4.54,55.8
Kosovo,KOS,Kosovo,0,70.79756098,Nodata,Nodata,Nodata
North Korea,PRK,North Korea,0.131753778,69.79195122,99.63034912,6.15,99.4
South Korea,KOR,South Korea,0.768605099,81.4597561,99.99521707,5.97,Nodata
Kuwait,KWT,Kuwait,0.471072533,74.4627561,100,23.13,99
Kyrgyzstan,KGZ,Kyrgyz Republic,0.576403808,70.20243902,97.64587423,6.3,83.9
Laos,LAO,Lao PDR,0.718291961,65.6872439,99.82593652,5.03,67.1
Latvia,LVA,Latvia,2.085618569,73.9804878,82.75442222,4.98,97.9
Lebanon,LBN,Lebanon,0.060495805,80.12887805,100,14.92,99
Lesotho,LSO,Lesotho,0.071996148,49.33146341,82.38501154,4.5,76.8
Liberia,LBR,Liberia,0.919454827,60.52039024,95.07688476,3.79,61.1
Libya,LBY,Libya,0.775331454,71.65768293,100,9.79,Nodata
Lithuania,LTU,Lithuania,1.575381402,74.16341463,91.79239135,3.82,89.6
Luxembourg,LUX,Luxembourg,0.141991636,81.79756098,100,4.53,100
Macedonia,MKD,"Macedonia, FYR",0,75.18704878,99.15740079,9.76,98.9
Madagascar,MDG,Madagascar,0.055204405,64.67390244,0.169109994,3.73,33.8
Malawi,MWI,Malawi,0.402663775,61.466,18.61254985,5.59,84.9
Malaysia,MYS,Malaysia,0.148614509,74.5675122,79.36496939,17.64,92.7
Mali,MLI,Mali,0.87348795,57.53519512,100,1.6,60.5
Mauritania,MRT,Mauritania,0.180335311,62.80270732,100,5.22,57.1
Mexico,MEX,Mexico,0,76.53265854,61.93432427,12.63,90.8
Moldova,MDA,Moldova,1.117485626,68.8115122,99.86409452,2.52,80.9
Mongolia,MNG,Mongolia,2.845441463,69.06180488,17.34441827,7.5,55.6
Montenegro,MNE,Montenegro,0.462994008,74.75836585,92.69743464,9.82,98.4
Morocco,MAR,Morocco,0.056370307,73.70904878,99.78988473,7.88,65.3
Mozambique,MOZ,Mozambique,0.141805368,54.6415122,13.30379733,2.82,37
Myanmar,MMR,Myanmar,0.510685592,65.65409756,99.80494845,6.14,74.4
Namibia,NAM,Namibia,0,64.34387805,15.2818436,6.86,82.6
Nepal,NPL,Nepal,0.963055407,69.222,99.81293476,4.96,89.5
Netherlands,NLD,Netherlands,0.469085671,81.10487805,99.99351904,5,100
New Caledonia,NCL,New Caledonia,0,77.12195122,Nodata,20.06,98.5
New Zealand,NZL,New Zealand,0.336552326,81.40731707,1.723957267,9.9,100
Nicaragua,NIC,Nicaragua,0.07268603,74.5147561,3.80544326,12.45,69.4
Niger,NER,Niger,0.119128927,60.82814634,99.99926831,4.18,47.8
Nigeria,NGA,Nigeria,0,52.44214634,99.65916445,5.27,54.7
Northern Cyprus,CYN,Cyprus,0,79.94978049,99.78369236,9.26,100
Norway,NOR,Norway,0.397751811,81.45121951,5.709369789,5.24,100
Oman,OMN,Oman,0.352247155,76.84104878,100,14.49,86.1
Pakistan,PAK,Pakistan,0,65.96368293,99.99965267,7.93,89.3
Palestine,PSX,Palestine,Nodata,Nodata,Nodata,Nodata,Nodata
Panama,PAN,Panama,0.569932709,77.41921951,4.28591742,8.54,86.9
Papua New Guinea,PNG,Papua New Guinea,0.114520511,62.44917073,3.844644589,6.33,32.8
Paraguay,PRY,Paraguay,0.080254042,72.79917073,65.92861521,7,89.2
Peru,PER,Peru,0.890693622,74.28385366,48.90565564,6.54,67.2
Philippines,PHL,Philippines,0.963117497,68.13156098,34.16729815,6.71,89.2
Poland,POL,Poland,0.767701353,76.84878049,97.40914538,5.63,96.5
Portugal,PRT,Portugal,0.481351784,80.37317073,37.39485039,9.59,100
Puerto Rico,PRI,Puerto Rico,0,78.71119512,Nodata,12.98,Nodata
Qatar,QAT,Qatar,1.429829972,78.4184878,100,19.78,100
Republic of Serbia,SRB,Serbia,0.406796171,75.13658537,97.42724574,9.75,99
Romania,ROU,Romania,1.856011844,74.46341463,98.61990042,7.99,100
Russia,RUS,Russian Federation,0.036729349,71.07317073,73.21227512,5.03,90.8
Rwanda,RWA,Rwanda,0.37048765,63.39482927,98.20892882,6.25,70.7
Saudi Arabia,SAU,Saudi Arabia,0.34763184,74.17763415,99.99032973,23.9,97
Senegal,SEN,Senegal,1.133939326,65.8787561,100,5.14,65.2
Sierra Leone,SLE,Sierra Leone,0.449548196,50.36312195,100,3.76,45.6
Slovakia,SVK,Slovak Republic,1.819241102,76.26097561,96.86140097,7.21,100
Slovenia,SVN,Slovenia,0.018226698,80.27804878,95.42852438,7.17,99.4
Solomon Islands,SLB,Solomon Islands,0.080481704,67.71892683,0.687056805,16.12,77.2
Somalia,SOM,Somalia,0.872522114,55.02302439,28.83233141,7.29,Nodata
Somaliland,SOL,Somaliland,Nodata,Nodata,Nodata,Nodata,Nodata
South Africa,ZAF,South Africa,0.274904417,56.73658537,68.75542047,9.36,80
South Sudan,SDS,South Sudan,0.037398536,55.22090244,99.6538834,10.08,56.9
Spain,ESP,Spain,0.222445744,82.42682927,69.59414787,7.85,100
Sri Lanka,LKA,Sri Lanka,0,74.24029268,98.56321285,7.8,93.6
Sudan,SDN,Sudan,0.054666297,63.16704878,100,17.91,50.2
Suriname,SUR,Suriname,0.294635059,70.99,74.9288269,10.83,88.4
Swaziland,SWZ,Swaziland,0.573292437,48.93792683,74.38826669,4.33,68.9
Sweden,SWE,Sweden,1.127171578,81.70487805,12.35327098,4.51,100
Switzerland,CHE,Switzerland,0.316400855,82.74878049,96.30834599,5.63,100
Syria,SYR,Syrian Arab Republic,0.367735019,74.71578049,100,8.79,87.2
Taiwan,TWN,"Taiwan, China",0.247936906,75.35302439,99.5699729,8.64,Nodata
Tajikistan,TJK,Tajikistan,0.617610495,69.40017073,98.46768427,6.44,65.4
Thailand,THA,Thailand,0,74.24692683,92.02013441,7.36,97.4
Togo,TGO,Togo,0.055928782,59.13236585,100,4.72,43.5
Trinidad and Tobago,TTO,Trinidad and Tobago,1.123446212,70.30529268,34.76328438,13.09,95.1
Tunisia,TUN,Tunisia,1.090642294,73.64634146,99.67228011,9.41,92
Turkey,TUR,Turkey,0.638141401,75.17595122,97.63689659,14.84,99.2
Turkmenistan,TKM,Turkmenistan,0,65.45656098,100,5.01,Nodata
Uganda,UGA,Uganda,1.278807772,57.76768293,99.45074872,5.19,74.2
Ukraine,UKR,Ukraine,0.57086405,71.1595122,97.76054444,2.58,97.1
United Arab Emirates,ARE,United Arab Emirates,0.028340377,77.19563415,99.82835733,19.02,100
United Kingdom,GBR,United Kingdom,0.069760928,80.95609756,68.00463035,3.9,100
United Republic of Tanzania,TZA,Tanzania,0.747053166,64.29182927,29.46354368,9.15,45.5
United States of America,USA,United States,0.783127127,78.84146341,50.21139999,9.39,98.2
Uruguay,URY,Uruguay,0.395192346,76.83619512,0,5.76,91.6
Uzbekistan,UZB,Uzbekistan,0.052569054,68.22758537,99.96980459,6.43,Nodata
Vanuatu,VUT,Vanuatu,0.390052721,71.6692439,0.900936989,23.71,89.9
Venezuela,VEN,"Venezuela, RB",0.838414319,74.07441463,77.88443942,6.86,77.9
Vietnam,VNM,Vietnam,0,75.7564878,96.86483591,5.71,93.6
Western Sahara,SAH,Sub-Saharan Africa (all income levels),0,58.0773024,82.1616667,6.274119967,54.09816149
Yemen,YEM,"Yemen, Rep.",0.113520181,63.5835122,100,8.25,Nodata
Zambia,ZMB,Zambia,0.092120023,59.23736585,71.74383144,5.04,49.1
Zimbabwe,ZWE,Zimbabwe,0,55.633,27.1973398,9.34,67.6
